gene_id,gene,,,
ENSDARG00000035819,sirt3,,,
ENSDARG00000032808,tdrd7,,,
ENSDARG00000061757,RABGAP1L,,,
ENSDARG00000002880,CCDC132 (1 of 2),,,
ENSDARG00000043236,ccna1,,,
ENSDARG00000004843,foxp1a,,,
ENSDARG00000036005,pitpnb,,,
ENSDARG00000020395,mical2b,,,
ENSDARG00000005456,katnb1,,,
ENSDARG00000031890,tcp11l1,,,
ENSDARG00000042615,icln,,,
ENSDARG00000077323,thap4,,,
ENSDARG00000035564,dgcr8,,,
ENSDARG00000006899,far1,,,
ENSDARG00000016238,arl6ip5b,,,
ENSDARG00000018529,lipf,,,
ENSDARG00000026170,hps1,,,
ENSDARG00000029419,hn1b,,,
ENSDARG00000023766,gnsa,,,
ENSDARG00000032116,cnot7,,,
ENSDARG00000025076,marveld2a,,,
ENSDARG00000068868,nap1l4b,,,
ENSDARG00000043848,sod1,,,
ENSDARG00000021233,pgls,,,
ENSDARG00000057249,zmynd11,,,
ENSDARG00000070029,ehhadh,,,
ENSDARG00000030448,sppl2,,,
ENSDARG00000010862,amt,,,
ENSDARG00000016463,trappc6b,,,
ENSDARG00000054250,crbn,,,
ENSDARG00000057272,slc30a9,,,
ENSDARG00000070028,tmem41aa,,,
ENSDARG00000014994,tbp,,,
ENSDARG00000015860,mtmr9,,,
ENSDARG00000045304,mtfr1,,,
ENSDARG00000056550,tango2,,,
ENSDARG00000007302,sh3gl3b,,,
ENSDARG00000059571,BX005437.1,,,
ENSDARG00000002994,itpkca,,,
ENSDARG00000069009,C8H1orf174,,,
ENSDARG00000021539,ephb2b,,,
ENSDARG00000016769,sgta,,,
ENSDARG00000092134,rad54b,,,
ENSDARG00000011370,fyna,,,
ENSDARG00000090667,rab6a,,,
ENSDARG00000014430,rabgef1,,,
ENSDARG00000022944,ecd,,,
ENSDARG00000096361,si:dkey-10p5.10,,,
ENSDARG00000017004,myo10,,,
ENSDARG00000004270,atl3,,,
ENSDARG00000059386,dtwd1,,,
ENSDARG00000060596,prkaa1,,,
ENSDARG00000055676,C20H6orf211,,,
ENSDARG00000026048,tsc1a,,,
ENSDARG00000041896,dnajc5ga,,,
ENSDARG00000055620,acad9,,,
ENSDARG00000009557,wrap73,,,
ENSDARG00000058939,b4galnt3b,,,
ENSDARG00000029975,C14H4orf29,,,
ENSDARG00000016934,ttyh2,,,
ENSDARG00000011583,cry1b,,,
ENSDARG00000070654,pex5,,,
ENSDARG00000043732,cops4,,,
ENSDARG00000013776,THOP1,,,
ENSDARG00000025174,HABP4,,,
ENSDARG00000003699,atp7a,,,
ENSDARG00000005423,pgam1a,,,
